20170228;421
CD_ENTITY;DT_PERIOD;CD_TEAM;CD_INDIVIDUAL;CD_CLIENT;CD_FACTTYPE;CD_TYPEMDT;CD_PRODUCT;AM_AMOUNT;CCY;MICA_NODE;CATEGORY;UNIT_TYPE;CD_LEVEL;ROLE
600;20170228;FR01890;;;COST;CH10150;PR04060550;-7.95237;EUR;MP10150030513;Actual;;;0
600;20170228;FR35890;;;COST;CH10150;PR04060550;-7.95237;EUR;MP10150030513;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-7.13741;EUR;MP10150050002;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-6.67349;EUR;MP10153020005;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-4.27999999999997;EUR;MP10150030605;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-3.97618;EUR;MP10150030513;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-3.97618;EUR;MP10150030513;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-3.97618;EUR;MP10150030513;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-3.93967;EUR;MP10150050002;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-3.45973;EUR;MP10150050002;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-2.8524;EUR;MP10150050002;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-2.71826;EUR;MP10150050002;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-2.59771000000001;EUR;MP10150050002;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-2.20312;EUR;MP10153020005;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-2.16396;EUR;MP10150050002;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-1.88358;EUR;MP10150050002;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-1.05132;EUR;MP10150050002;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-0.95399;EUR;MP10150030207;Actual;;;0
600;20170228;FR35890;;;COST;CH10150;PR04060550;-0.899439999999998;EUR;MP10150050002;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-0.88207;EUR;MP10153020005;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-0.56975;EUR;MP10153020005;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-0.565860000000001;EUR;MP10150050002;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-0.51387;EUR;MP10153020005;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-0.49953;EUR;MP10153020005;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-0.44074;EUR;MP10153020005;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-0.4246;EUR;MP10150050002;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-0.40036;EUR;MP10153020005;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-0.31587;EUR;MP10153020005;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-0.3108;EUR;MP10153020005;Actual;;;0
